"score_unit_mode","score_unit","kappa","lambda","shift_prob","shift_type","policy","n_rep","mean_objective","se_objective","q025_objective","median_objective","q975_objective","mean_regret","mean_retrains","se_retrains"
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"none","alarm_tuned",100,0.317846260950704,0.00410952079844704,0.232704020430104,0.318873999880883,0.391014584529557,0.136905691024904,12.14,0.217432213981203
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"none","always_retrain",100,3.01818984048988,0.00070852633071643,3.0047144057655,3.01837350546799,3.03090259949522,0.0521953252317,199,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"none","calendar_tuned",100,1.05694099428932,0.00115607220911986,1.03683974175203,1.05563433851336,1.0809591697802,0.0732443208871136,66,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"none","calendar10",100,0.405762030930752,0.00223613038547652,0.370714183358292,0.402772676312854,0.461582927565916,0.122576624951328,19,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"none","cusum_tuned",100,0.412619574315781,0.00363841787483521,0.345790352181303,0.41516834454888,0.482432427290238,0.109462144967282,20.34,0.200615215391218
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"none","debt_threshold_tuned",100,0.416868004373523,0.018808107366593,0.195316154048209,0.384142719176835,0.935222731031532,0.381097216249807,2.4,0.189096736506942
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"none","debt_utility_tuned",100,0.745799197650747,0.00238692282280862,0.704903047980405,0.744726848368299,0.798842527202178,0.077630684489822,44.83,0.135627981976248
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"none","hybrid_utility_tuned",100,0.568792255183975,0.0249248849079638,0.299974983730643,0.489558124274872,1.21877829530079,0.37712044882106,12.86,1.04165951512697
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"none","never_retrain",100,0.816049463143411,0.047403691924577,0.206000975191563,0.669947434620155,1.85907207963428,0.816049463143411,0,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"variance","alarm_tuned",100,6.13183235271403,0.22211810859686,3.23176828158128,5.40252147025318,11.014867034558,5.88590818436348,16.5,0.130654915983698
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"variance","always_retrain",100,3.98608391201713,0.0357194267427762,3.50129704072917,3.91728049524202,4.61554436405151,1.02008939675895,199,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"variance","calendar_tuned",100,2.99655231861821,0.0745708680957581,1.99019233074459,2.81853285045389,4.32844336828141,2.012855645216,66,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"variance","calendar10",100,5.67662790274229,0.189416945316572,2.95559404312506,5.47665516888616,9.53785873355779,5.39344249676286,19,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"variance","cusum_tuned",100,2.20583737194938,0.0466617404712226,1.46269001862636,2.15072398591855,3.06299286318438,1.45003042788535,50.71,0.608408256075315
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"variance","debt_threshold_tuned",100,2.12403843685364,0.0446571305876533,1.39787989517969,2.06159795884839,2.96321729856653,1.6213098187649,33.73,0.558471036840675
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"variance","debt_utility_tuned",100,2.25496526043429,0.0447854146633339,1.57045954929692,2.16714773396687,3.0593432331418,1.342661118329,61.21,0.322958232906393
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"variance","hybrid_utility_tuned",100,2.31242502194018,0.0490647563369224,1.56130454782008,2.21918748970911,3.19159349715913,1.37031188973179,63.21,0.903225980426367
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"variance","never_retrain",100,131.37428565493,5.69447752347956,54.0855287049158,117.112479867126,250.386607225716,131.37428565493,0,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.1,"abrupt_coef","alarm_tuned",100,12.5623296805154,1.75837055095991,0.331196966723201,6.07071473584495,49.9912172814775,12.3144679278082,16.63,0.169166106880698
"mean",0.149044950515486,0.1,0.0149044950515486,0.1,"abrupt_coef","always_retrain",100,5.0620220500953,0.283749131735994,3.01971095992677,3.93889888199021,12.3485831284122,2.09602753483713,199,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.1,"abrupt_coef","calendar_tuned",100,5.17102001538148,0.587774825639828,1.05957471050637,2.83142752000414,19.7072410731127,4.18732334197927,66,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.1,"abrupt_coef","calendar10",100,11.7299791727861,1.61803523632663,0.423013761146013,5.60731103487852,61.0451683366131,11.4467937668066,19,0
