"score_unit_mode","n_cells","dt_cusum_win","dt_cusum_ratio","dt_calendar_win","dt_calendar_ratio","frac_deployed_better","mean_sqrt_debt","axis","severity","rep","regret_mode"
"median",72,0.597222222222222,1.00266062323672,0.736111111111111,0.844949453400696,0.265859375,1.29786273301928,"tail",6,5,"signed"
"q75",72,0.888888888888889,0.936717661548613,1,0.647461528517087,0.265859375,1.29786273301928,"tail",6,5,"signed"
"mean",72,0.972222222222222,0.934026351989612,1,0.620111297466056,0.265859375,1.29786273301928,"tail",6,5,"signed"
"median",72,0.527777777777778,1.00372053092489,0.722222222222222,0.844481754102031,0.26359375,1.25307732342849,"tail",6,6,"signed"
"q75",72,0.902777777777778,0.946368922547606,1,0.639383561565079,0.26359375,1.25307732342849,"tail",6,6,"signed"
"mean",72,0.944444444444444,0.934370116787803,1,0.598831927545134,0.26359375,1.25307732342849,"tail",6,6,"signed"
"median",72,0.625,0.978701626377664,0.75,0.826830643033093,0.26609375,1.21876300352043,"tail",6,7,"signed"
"q75",72,0.888888888888889,0.929733572450788,1,0.629474789702918,0.26609375,1.21876300352043,"tail",6,7,"signed"
"mean",72,0.972222222222222,0.927473028260907,1,0.598628233778556,0.26609375,1.21876300352043,"tail",6,7,"signed"
"median",72,0.541666666666667,1.00400171429987,0.736111111111111,0.844078422499563,0.259609375,1.21111011874736,"tail",6,8,"signed"
"q75",72,0.875,0.928842127900132,1,0.642803939580508,0.259609375,1.21111011874736,"tail",6,8,"signed"
"mean",72,0.944444444444444,0.924231430575232,1,0.613215876223355,0.259609375,1.21111011874736,"tail",6,8,"signed"
"median",72,0.583333333333333,0.997143402111846,0.736111111111111,0.83831982611243,0.2590625,1.22279846993702,"tail",5,4,"signed"
"q75",72,0.875,0.920744504898857,1,0.629754904495554,0.2590625,1.22279846993702,"tail",5,4,"signed"
"mean",72,0.902777777777778,0.924094563563625,1,0.618590497229702,0.2590625,1.22279846993702,"tail",5,4,"signed"
"median",72,0.444444444444444,1.04829423825027,0.722222222222222,0.868728746415953,0.2713671875,1.30518791041145,"tail",5,5,"signed"
"q75",72,0.736111111111111,0.961190996498815,1,0.661632342031702,0.2713671875,1.30518791041145,"tail",5,5,"signed"
"mean",72,0.791666666666667,0.952060064162279,1,0.628021854257285,0.2713671875,1.30518791041145,"tail",5,5,"signed"
"median",72,0.486111111111111,1.0117604146596,0.722222222222222,0.836524747264817,0.2663671875,1.30717223486898,"tail",5,6,"signed"
"q75",72,0.861111111111111,0.947073819212711,1,0.636125659714784,0.2663671875,1.30717223486898,"tail",5,6,"signed"
"mean",72,0.847222222222222,0.938352792868312,1,0.617950534794208,0.2663671875,1.30717223486898,"tail",5,6,"signed"
"median",72,0.666666666666667,0.965369461941415,0.763888888888889,0.817722778185262,0.2638671875,1.27948614087715,"tail",5,7,"signed"
"q75",72,0.944444444444444,0.922431496609621,1,0.613901424985963,0.2638671875,1.27948614087715,"tail",5,7,"signed"
"mean",72,1,0.914863189271905,1,0.575579868813805,0.2638671875,1.27948614087715,"tail",5,7,"signed"
"median",72,0.597222222222222,0.986892363601607,0.75,0.831754915533905,0.2749609375,1.23840371359307,"tail",5,8,"signed"
"q75",72,0.902777777777778,0.926618460141112,1,0.642887307008942,0.2749609375,1.23840371359307,"tail",5,8,"signed"
"mean",72,0.958333333333333,0.920883879343102,1,0.613143920145451,0.2749609375,1.23840371359307,"tail",5,8,"signed"
"median",72,0.680555555555556,0.959199543382816,0.736111111111111,0.804754834235371,0.27546875,1.25991358170345,"tail",4,4,"signed"
"q75",72,0.902777777777778,0.901180069311747,1,0.614827670478518,0.27546875,1.25991358170345,"tail",4,4,"signed"
"mean",72,0.930555555555556,0.908940970649854,1,0.600550050362126,0.27546875,1.25991358170345,"tail",4,4,"signed"
"median",72,0.597222222222222,0.994033049110535,0.777777777777778,0.812810440180923,0.2716015625,1.40217276826677,"tail",4,5,"signed"
"q75",72,0.847222222222222,0.938363610252893,1,0.631771842743486,0.2716015625,1.40217276826677,"tail",4,5,"signed"
"mean",72,0.930555555555556,0.927477114118418,1,0.605839148834762,0.2716015625,1.40217276826677,"tail",4,5,"signed"
"median",72,0.583333333333333,0.985557711076468,0.75,0.808569365529888,0.2573046875,1.37814235070795,"tail",4,6,"signed"
"q75",72,0.888888888888889,0.922057575688856,1,0.609794793782354,0.2573046875,1.37814235070795,"tail",4,6,"signed"
"mean",72,0.916666666666667,0.908795503991731,1,0.575443664566619,0.2573046875,1.37814235070795,"tail",4,6,"signed"
"median",72,0.722222222222222,0.937014108080209,0.791666666666667,0.782090665413165,0.27375,1.28955762795867,"tail",4,7,"signed"
"q75",72,0.944444444444444,0.900478737577377,1,0.599757331984103,0.27375,1.28955762795867,"tail",4,7,"signed"
"mean",72,1,0.898549015603425,1,0.562427440839142,0.27375,1.28955762795867,"tail",4,7,"signed"
"median",72,0.583333333333333,0.984550756867975,0.75,0.825744922894818,0.2741015625,1.25361522174721,"tail",4,8,"signed"
"q75",72,0.888888888888889,0.908445126553568,1,0.627786689734703,0.2741015625,1.25361522174721,"tail",4,8,"signed"
"mean",72,0.958333333333333,0.903043886183494,1,0.598107200761056,0.2741015625,1.25361522174721,"tail",4,8,"signed"
"median",72,0.708333333333333,0.876111661105942,0.833333333333333,0.727755829840333,0.280859375,1.39332288058624,"tail",3,4,"signed"
"q75",72,0.930555555555556,0.843344021536901,1,0.563201976968679,0.280859375,1.39332288058624,"tail",3,4,"signed"
"mean",72,0.972222222222222,0.838315471791408,1,0.545641226210272,0.280859375,1.39332288058624,"tail",3,4,"signed"
"median",72,0.333333333333333,1.07966858981992,0.694444444444444,0.85925025139403,0.267578125,1.46084594765622,"tail",3,5,"signed"
"q75",72,0.472222222222222,1.01316857049065,0.930555555555556,0.6861181968165,0.267578125,1.46084594765622,"tail",3,5,"signed"
"mean",72,0.569444444444444,0.966629382521481,1,0.624656220374185,0.267578125,1.46084594765622,"tail",3,5,"signed"
"median",72,0.0277777777777778,1.51469816293302,0.444444444444444,1.17684263246476,0.26796875,1.51372672057867,"tail",3,6,"signed"
"q75",72,0.0972222222222222,1.39133742326364,0.736111111111111,0.914031206952884,0.26796875,1.51372672057867,"tail",3,6,"signed"
"mean",72,0.152777777777778,1.35998911251679,0.763888888888889,0.849391938091489,0.26796875,1.51372672057867,"tail",3,6,"signed"
"median",72,0.638888888888889,0.913062363508874,0.819444444444444,0.736036801316165,0.2696875,1.40881588572996,"tail",3,7,"signed"
